TRADENO	TRADETIME	SECBOARD	SECCODE	PRICE	VOLUME	ACCRUEDINT	YIELD	VALUE
003422595392	090217	SPEQ	GAZP	214.2500000000	2900	0.00	0.00	621325.00
003422595394	090217	SPEQ	GAZP	214.2500000000	1600	0.00	0.00	342800.00
003422595395	090217	SPEQ	GAZP	214.2500000000	3300	0.00	0.00	707025.00
003422595396	090217	SPEQ	GAZP	214.2500000000	6000	0.00	0.00	1285500.00
003422600172	095931	TQBR	AFKS	28.8400000000	300	0.00	0.00	8652.00
003422600173	095931	TQBR	AFKS	28.8400000000	200	0.00	0.00	5768.00
003422600174	095931	TQBR	AFKS	28.8400000000	200	0.00	0.00	5768.00
003422600175	095931	TQBR	AFKS	28.8400000000	100	0.00	0.00	2884.00
003422600176	095931	TQBR	AFKS	28.8400000000	600	0.00	0.00	17304.00
003422600176	095931	TQBR	AFKSRRR	28.8400000000	600	0.00	0.00	17304.00
